respondent_id,_true_persona,Q2_community,Q3_nationality_region,Q4_age_group,Q5_household_composition,Q6_ownership,Q7_years_in_community,Q8_villa_bedrooms,Q9_income_bracket_aed,Q10_cleaning,Q10_gardening,Q10_pool,Q10_pest_control,Q10_repairs,Q10_none,Q11_sourcing_channel,Q12_satisfaction,Q13_pain_unreliable_staff,Q13_pain_inconsistent_quality,Q13_pain_trust_strangers,Q13_pain_high_cost,Q13_pain_time_coordinating,Q13_pain_staff_turnover,Q13_pain_no_accountability,Q13_pain_hard_to_find_specialists,Q13_pain_none,Q14_hours_coordinating_monthly,Q15_feat_fixed_schedule,Q15_feat_vetted_staff,Q15_feat_continuity,Q15_feat_bundled_package,Q15_feat_emergency_callout,Q15_feat_visit_tracking,Q15_feat_ratings_reviews,Q15_feat_flex_addons,Q15_feat_community_manager,Q16_continuity_importance,Q17_scheduling_pref,Q18_current_spend_aed,Q19_max_wtp_aed,Q20_billing_pref,Q22_vetting_importance,Q23_app_comfort,Q24_app_real_time_tracking,Q24_app_in_app_reschedule,Q24_app_ratings,Q24_app_photo_verification,Q24_app_chat,Q24_app_announcements,Q24_app_none_prefer_whatsapp,Q25_interest
77,Cost-Conscious Family Households,Arabian Ranches,South Asian,45-54,Couple with children,Owner,2.9,4,"30,000-49,999",0,0,0,1,1,0,Informal/word-of-mouth,3,0,0,0,1,0,0,1,0,0,6.3,0,0,1,1,0,1,0,1,1,3,Weekly,1419.0,1812.0,Separate billing,4,4,0,0,1,0,0,0,0,Yes
78,Skeptical Traditionalists,The Springs,Western (Europe/NA/ANZ),55+,Couple with children,Owner,11.1,3,"15,000-29,999",0,1,0,0,0,0,Individual freelancers,3,0,0,0,0,0,1,0,1,0,0.0,1,1,1,0,1,1,0,0,1,4,Weekly,1314.0,1016.0,Separate billing,4,2,1,0,0,0,0,0,0,No
79,Skeptical Traditionalists,Jumeirah Park,Other Arab,25-34,Couple with children,Tenant,8.6,4,"30,000-49,999",1,1,0,0,0,0,Informal/word-of-mouth,3,0,1,0,1,0,0,0,0,0,6.3,1,1,1,0,0,0,1,1,0,5,Biweekly,1588.0,1263.0,No preference,3,1,0,0,1,0,0,0,1,No
80,Affluent Low-Engagement,Damac Hills,Other Arab,55+,Shared housing/roommates,Owner,7.7,4,"80,000+",1,1,1,1,1,0,Agency/company,3,0,0,0,0,0,0,0,1,0,4.0,0,0,1,0,1,1,0,0,0,4,Biweekly,6038.0,7712.0,Bundled into HOA fees,4,2,0,0,0,1,0,0,1,No
81,Skeptical Traditionalists,Arabian Ranches,GCC national,55+,Couple with children,Owner,10.9,3,"30,000-49,999",1,0,1,0,1,0,Informal/word-of-mouth,3,0,1,0,0,0,0,0,1,0,4.0,0,1,0,0,1,0,0,0,0,5,Monthly,2695.0,2150.0,Bundled into HOA fees,5,2,0,0,0,0,0,0,0,No
82,Cost-Conscious Family Households,Dubai Hills Estate,Southeast/East Asian,35-44,Couple with children,Tenant,3.7,3,"30,000-49,999",0,0,0,0,1,0,DIY,2,1,0,0,1,0,0,0,1,0,6.4,1,1,1,1,0,0,0,1,0,4,Weekly,1320.0,1289.0,Bundled into HOA fees,3,3,0,1,0,0,1,1,0,Yes
83,Tech-Savvy Young Adopters,Arabian Ranches,Southeast/East Asian,Under 25,"Single/couple, no children",Tenant,2.6,2,"50,000-79,999",0,1,1,0,0,0,Mix,2,0,1,0,0,0,1,0,1,1,7.0,1,0,1,1,1,1,1,0,1,1,Weekly,1620.0,1814.0,Bundled into HOA fees,4,5,0,0,0,1,0,0,0,Yes
84,Time-Poor Premium Professionals,Al Furjan,South Asian,25-34,"Single/couple, no children",Tenant,4.8,3,"15,000-29,999",0,1,0,1,1,0,Mix,3,0,0,0,1,1,0,0,1,0,9.2,1,1,0,1,1,0,1,0,0,4,Monthly,3484.0,2944.0,Bundled into HOA fees,5,3,1,0,1,1,0,0,1,Yes
85,Time-Poor Premium Professionals,Arabian Ranches,South Asian,35-44,Couple with children,Owner,1.3,3,"80,000+",1,1,0,1,0,0,Agency/company,3,0,0,0,1,1,0,1,0,0,7.7,1,1,0,0,1,1,1,1,0,4,Flexible/on-demand,5932.0,10844.0,No preference,4,2,0,0,1,0,0,0,1,Yes
86,Time-Poor Premium Professionals,Dubai Hills Estate,Western (Europe/NA/ANZ),35-44,"Single/couple, no children",Owner,2.1,4,"30,000-49,999",1,1,0,0,0,0,Agency/company,3,1,1,1,0,1,0,0,1,0,10.8,1,1,1,1,1,0,0,0,1,4,Biweekly,4208.0,5351.0,Separate billing,2,3,0,0,1,0,0,0,0,Yes
87,Affluent Low-Engagement,Al Furjan,GCC national,55+,"Single/couple, no children",Owner,5.7,3,"80,000+",1,1,1,1,0,0,Agency/company,4,0,0,0,0,0,0,0,0,1,3.8,0,0,0,1,0,0,0,1,0,4,Weekly,5505.0,7991.0,Bundled into HOA fees,4,1,1,0,0,0,0,0,0,Maybe
88,Cost-Conscious Family Households,Jumeirah Islands,South Asian,35-44,Couple with children,Tenant,2.5,4,"30,000-49,999",1,1,0,0,0,0,Individual freelancers,3,0,0,0,1,0,1,0,0,1,6.8,1,1,1,1,0,0,0,0,0,4,Weekly,1209.0,1132.0,Separate billing,3,3,0,0,0,0,0,0,1,No
89,Time-Poor Premium Professionals,Al Furjan,Other Arab,35-44,"Single/couple, no children",Tenant,2.0,5,"30,000-49,999",1,1,1,0,1,0,Agency/company,3,1,1,1,0,1,1,0,0,0,7.2,1,1,1,0,0,0,1,1,1,5,Weekly,4227.0,4578.0,Separate billing,4,3,0,0,0,1,1,0,0,Yes
90,Skeptical Traditionalists,Al Furjan,GCC national,55+,Multigenerational household,Owner,8.3,4,"50,000-79,999",1,1,0,1,0,0,Individual freelancers,3,0,0,0,0,0,0,0,0,1,2.3,0,1,1,0,1,1,0,1,0,4,Weekly,2917.0,987.0,Bundled into HOA fees,5,2,1,0,1,0,0,0,1,Maybe
91,Time-Poor Premium Professionals,Jumeirah Park,South Asian,35-44,"Single/couple, no children",Tenant,2.5,4,"15,000-29,999",1,1,1,1,0,0,Agency/company,4,1,1,0,1,1,0,0,0,0,11.0,1,1,1,1,1,1,0,1,0,4,Biweekly,2324.0,2497.0,Separate billing,4,3,0,0,0,0,0,0,0,Maybe
92,Affluent Low-Engagement,Damac Hills,GCC national,25-34,Couple with children,Owner,3.1,4,"80,000+",1,1,0,0,1,0,Mix,5,0,1,0,0,0,0,0,0,0,2.0,1,1,0,0,1,1,0,0,0,3,Weekly,8079.0,10650.0,Bundled into HOA fees,5,2,0,0,0,0,0,0,1,No
93,Cost-Conscious Family Households,Arabian Ranches,South Asian,35-44,Couple with children,Owner,8.5,3,"80,000+",0,1,0,0,0,0,Agency/company,4,1,1,0,1,0,1,1,0,0,7.6,1,1,1,1,1,1,0,1,0,3,Biweekly,2695.0,1606.0,Bundled into HOA fees,5,3,0,0,0,0,0,0,0,Yes
94,Cost-Conscious Family Households,The Springs,Other Arab,35-44,Couple with children,Owner,5.1,2,,1,0,0,0,0,0,Agency/company,4,1,1,1,1,1,1,0,0,0,8.4,1,1,1,1,0,1,0,0,0,4,Weekly,1225.0,1725.0,Separate billing,5,3,0,0,0,1,1,0,0,Yes
95,Cost-Conscious Family Households,Arabian Ranches,Other Arab,45-54,Multigenerational household,Tenant,2.3,3,"30,000-49,999",0,1,0,0,0,0,Individual freelancers,2,1,0,0,0,0,0,0,0,1,6.0,0,1,0,0,0,0,0,1,1,4,Biweekly,1024.0,518.0,Bundled into HOA fees,5,4,0,0,0,1,0,1,0,No
96,Skeptical Traditionalists,Al Furjan,Western (Europe/NA/ANZ),45-54,"Single/couple, no children",Owner,26.7,3,"30,000-49,999",1,0,0,0,1,0,Mix,4,0,1,1,0,1,1,1,0,0,3.7,1,1,1,0,0,1,1,0,0,4,Monthly,1752.0,1314.0,No preference,5,3,1,0,0,0,1,0,0,Maybe
97,Cost-Conscious Family Households,Al Furjan,Southeast/East Asian,55+,Multigenerational household,Tenant,4.2,4,"Under 15,000",1,0,0,0,0,0,Informal/word-of-mouth,4,1,1,0,1,0,0,0,1,0,9.2,0,0,1,1,0,1,1,0,1,4,Biweekly,1253.0,981.0,No preference,2,4,0,0,0,0,1,0,0,Yes
98,Time-Poor Premium Professionals,Mudon,Other Arab,35-44,Couple with children,Owner,4.7,4,"50,000-79,999",1,1,0,0,1,0,Mix,3,1,1,0,0,1,0,0,0,0,7.3,1,1,1,1,0,1,0,1,0,3,Monthly,3954.0,6229.0,Bundled into HOA fees,5,2,1,0,0,0,0,1,0,Maybe
99,Time-Poor Premium Professionals,The Springs,African,35-44,"Single/couple, no children",Tenant,4.3,4,"15,000-29,999",1,1,0,0,1,1,Agency/company,1,0,1,0,1,1,1,1,0,0,11.5,0,1,1,1,0,0,0,0,1,4,Biweekly,2271.0,4965.0,Separate billing,5,4,0,0,1,0,1,0,0,Yes
100,Tech-Savvy Young Adopters,Al Furjan,Western (Europe/NA/ANZ),25-34,"Single/couple, no children",Tenant,3.6,2,"30,000-49,999",0,1,0,1,1,0,Individual freelancers,4,1,1,0,0,1,0,0,1,0,7.2,0,1,0,1,1,0,0,1,0,2,Weekly,651.0,596.0,Bundled into HOA fees,3,5,0,0,0,0,0,1,0,Yes
101,Tech-Savvy Young Adopters,The Springs,Western (Europe/NA/ANZ),35-44,"Single/couple, no children",Tenant,1.1,4,"15,000-29,999",1,0,0,0,1,0,Individual freelancers,3,1,1,0,0,0,1,0,0,0,3.0,1,0,0,1,0,0,0,0,0,2,Biweekly,1526.0,1903.0,Separate billing,3,4,0,0,0,0,0,1,0,Maybe
102,Affluent Low-Engagement,Akoya Oxygen,Other Arab,45-54,"Single/couple, no children",Owner,4.3,3,"50,000-79,999",1,1,1,1,0,0,Agency/company,3,0,0,1,0,1,0,0,0,0,1.0,1,0,1,0,1,1,0,0,0,3,Biweekly,5931.0,9882.0,Separate billing,3,2,0,1,0,0,0,0,1,Yes
103,Cost-Conscious Family Households,Akoya Oxygen,Western (Europe/NA/ANZ),25-34,Couple with children,Owner,6.6,2,"30,000-49,999",0,0,0,0,0,0,DIY,4,0,0,0,1,0,0,0,0,0,6.3,1,0,0,1,1,1,0,0,0,4,Biweekly,379.0,1479.0,No preference,3,3,0,1,1,0,0,0,0,Maybe
104,Tech-Savvy Young Adopters,The Meadows,GCC national,25-34,Multigenerational household,Tenant,1.2,2,"50,000-79,999",0,1,1,0,1,0,Individual freelancers,3,0,0,0,1,0,0,0,1,0,2.6,0,1,0,1,0,0,1,0,0,3,Flexible/on-demand,1205.0,1738.0,No preference,5,5,1,0,0,1,1,0,1,Yes
105,Affluent Low-Engagement,Dubai Hills Estate,GCC national,25-34,"Single/couple, no children",Tenant,17.4,4,"80,000+",1,1,1,1,1,0,Agency/company,4,0,1,0,0,0,0,0,0,0,2.0,0,0,0,1,0,1,1,0,0,3,Monthly,9958.0,15692.0,Bundled into HOA fees,4,3,0,0,0,0,1,1,0,No
106,Affluent Low-Engagement,Arabian Ranches,Western (Europe/NA/ANZ),45-54,Couple with children,Owner,10.9,4,"80,000+",1,1,1,1,1,0,Agency/company,5,0,0,0,0,0,0,0,1,0,0.0,0,0,1,1,1,0,0,0,0,5,Weekly,3593.0,8600.0,No preference,5,5,1,0,0,0,0,0,0,No
107,Cost-Conscious Family Households,Arabian Ranches,South Asian,45-54,Couple with children,Owner,2.5,2,"30,000-49,999",1,1,0,1,0,0,Informal/word-of-mouth,4,0,1,0,1,0,0,0,1,0,6.2,1,0,1,0,0,0,0,1,0,1,Monthly,1539.0,1492.0,Separate billing,4,3,0,0,0,0,0,1,0,Maybe
108,Cost-Conscious Family Households,The Springs,South Asian,35-44,Couple with children,Tenant,4.1,4,"30,000-49,999",0,0,0,0,1,0,DIY,4,0,1,0,1,1,1,0,0,0,6.2,1,0,0,1,0,1,0,1,0,3,Biweekly,2976.0,3135.0,Bundled into HOA fees,5,3,0,0,0,1,0,0,1,Yes
109,Time-Poor Premium Professionals,The Springs,Southeast/East Asian,25-34,Couple with children,Owner,2.6,4,"30,000-49,999",1,1,0,0,1,0,Mix,1,1,0,0,0,0,1,0,1,0,9.4,1,0,1,1,0,0,0,0,0,5,Biweekly,4584.0,6589.0,Separate billing,4,4,1,1,0,0,0,0,1,Maybe
110,Tech-Savvy Young Adopters,Jumeirah Islands,GCC national,25-34,"Single/couple, no children",Owner,1.4,3,"80,000+",0,1,0,0,0,0,Individual freelancers,5,0,1,0,0,1,1,0,0,0,5.1,1,1,1,0,1,0,0,0,0,3,Weekly,1716.0,1823.0,Bundled into HOA fees,5,5,1,1,1,0,0,0,0,No
111,Cost-Conscious Family Households,Dubai Hills Estate,Other Arab,35-44,Couple with children,Tenant,2.6,3,"50,000-79,999",1,1,0,0,0,0,Informal/word-of-mouth,2,1,0,1,1,0,0,1,0,0,3.9,1,1,1,1,1,0,0,0,1,3,Biweekly,1960.0,1171.0,Separate billing,3,4,0,0,0,1,0,0,0,Yes
112,Time-Poor Premium Professionals,Mudon,South Asian,45-54,"Single/couple, no children",Tenant,3.1,5,,1,0,1,1,1,0,Agency/company,3,1,1,0,0,0,0,0,1,0,90.4,1,1,1,1,1,1,0,0,0,4,Weekly,3890.0,3176.0,Bundled into HOA fees,3,4,0,1,0,1,1,0,0,No
113,Cost-Conscious Family Households,Damac Hills,Other Arab,35-44,Multigenerational household,Tenant,1.7,3,"80,000+",1,0,0,0,0,0,Informal/word-of-mouth,5,1,0,1,1,0,0,1,0,0,10.4,0,1,0,1,1,1,1,1,1,3,Weekly,1675.0,2414.0,Bundled into HOA fees,5,4,1,0,0,0,1,0,0,Yes
114,Skeptical Traditionalists,Jumeirah Islands,Other Arab,55+,Couple with children,Owner,12.7,3,"30,000-49,999",1,0,1,0,0,0,Informal/word-of-mouth,5,0,0,0,0,0,0,0,1,0,3.9,0,0,0,0,1,1,0,0,1,5,Flexible/on-demand,2162.0,1798.0,Separate billing,5,5,0,0,0,1,0,1,0,Maybe
115,Time-Poor Premium Professionals,The Springs,GCC national,35-44,"Single/couple, no children",Tenant,0.9,2,,1,0,1,1,0,0,Agency/company,3,0,1,0,1,1,1,0,0,0,9.2,0,1,0,1,0,0,0,1,0,4,Biweekly,1944.0,2323.0,Bundled into HOA fees,4,3,0,1,0,0,0,0,0,Yes
116,Tech-Savvy Young Adopters,The Meadows,Other,Under 25,Couple with children,Tenant,1.6,3,"15,000-29,999",0,1,1,0,0,0,DIY,4,1,0,0,0,0,1,0,1,0,6.8,1,1,0,0,0,0,1,1,0,4,Monthly,1044.0,879.0,Bundled into HOA fees,4,4,0,0,0,0,0,1,0,Maybe
117,Affluent Low-Engagement,Mudon,Other Arab,35-44,Couple with children,Owner,6.9,5,"50,000-79,999",1,1,0,1,1,0,Agency/company,5,0,1,0,0,0,0,0,0,1,0.9,0,1,1,0,0,0,0,0,0,3,Weekly,8374.0,14832.0,Bundled into HOA fees,5,2,0,1,1,0,0,0,0,Yes
118,Affluent Low-Engagement,Dubai Hills Estate,GCC national,55+,Couple with children,Owner,4.9,5,,1,1,1,1,1,0,Agency/company,2,0,0,0,0,0,0,0,0,1,1.9,0,0,1,1,0,0,0,0,0,3,Weekly,6862.0,8333.0,Separate billing,3,3,0,1,0,0,0,0,0,Maybe
119,Cost-Conscious Family Households,Jumeirah Park,Southeast/East Asian,55+,Multigenerational household,Owner,10.3,3,"Under 15,000",0,0,0,0,0,1,Agency/company,2,0,0,0,1,0,1,0,1,0,5.7,0,1,1,1,0,0,0,0,0,2,Biweekly,836.0,1033.0,No preference,3,2,0,0,1,1,0,1,1,Maybe
120,Skeptical Traditionalists,Al Furjan,GCC national,45-54,Shared housing/roommates,Owner,14.7,3,"30,000-49,999",1,1,1,1,0,0,Informal/word-of-mouth,3,0,1,1,0,0,0,0,1,0,5.4,0,1,0,1,0,0,0,0,1,3,Weekly,1814.0,1749.0,Separate billing,5,4,0,0,1,0,0,1,0,No
121,Skeptical Traditionalists,Damac Hills,South Asian,55+,Multigenerational household,Owner,8.4,3,"30,000-49,999",0,0,0,0,0,1,Informal/word-of-mouth,3,0,0,1,0,0,0,1,0,0,5.2,0,0,1,1,0,1,1,1,1,5,Weekly,1962.0,2500.0,Separate billing,5,2,0,1,0,1,0,1,1,Maybe
122,Skeptical Traditionalists,Jumeirah Park,GCC national,55+,Couple with children,Owner,7.2,5,"50,000-79,999",1,0,0,1,0,0,Informal/word-of-mouth,4,0,1,0,0,0,1,0,1,0,2.9,0,1,1,1,0,0,0,0,0,4,Biweekly,3480.0,2124.0,Bundled into HOA fees,4,1,0,1,0,0,0,0,1,No
123,Time-Poor Premium Professionals,The Meadows,South Asian,25-34,"Single/couple, no children",Owner,2.4,3,"15,000-29,999",0,0,0,0,0,0,Agency/company,2,0,0,0,0,1,1,0,0,0,8.9,1,1,1,0,0,1,0,0,1,3,Weekly,1943.0,2194.0,Separate billing,5,5,1,0,0,0,0,0,0,Yes
124,Cost-Conscious Family Households,Dubai Hills Estate,South Asian,35-44,Couple with children,Owner,7.6,2,"30,000-49,999",0,0,0,1,0,1,Individual freelancers,2,1,0,0,1,0,0,1,1,0,8.2,1,1,1,1,0,1,1,0,0,4,Weekly,1046.0,515.0,Separate billing,5,4,0,0,0,0,0,0,1,Maybe
125,Time-Poor Premium Professionals,Mudon,South Asian,35-44,"Single/couple, no children",Tenant,3.5,3,"30,000-49,999",1,1,1,0,1,0,Informal/word-of-mouth,3,1,0,0,0,1,1,0,0,0,8.4,1,0,1,0,1,1,0,0,0,4,Biweekly,2839.0,4318.0,Bundled into HOA fees,4,3,0,1,0,1,1,1,0,Yes
126,Cost-Conscious Family Households,Akoya Oxygen,Southeast/East Asian,55+,Couple with children,Owner,10.6,2,"30,000-49,999",0,0,0,1,0,0,Agency/company,3,1,0,0,0,0,1,0,0,0,3.8,0,1,1,1,0,0,0,0,0,3,Weekly,1729.0,748.0,Separate billing,4,4,1,0,0,0,0,1,0,Maybe
127,Cost-Conscious Family Households,Damac Hills,Southeast/East Asian,35-44,Couple with children,Owner,3.2,2,"30,000-49,999",1,1,0,0,0,0,Mix,2,0,1,0,1,0,0,1,1,0,7.9,1,0,1,1,1,0,0,0,1,4,Monthly,1930.0,2126.0,Bundled into HOA fees,3,5,0,0,0,0,0,0,0,Yes
128,Time-Poor Premium Professionals,Damac Hills,Western (Europe/NA/ANZ),35-44,"Single/couple, no children",Tenant,1.8,3,"30,000-49,999",0,1,0,0,0,0,Informal/word-of-mouth,4,0,0,1,1,0,0,0,0,0,7.4,0,1,0,0,0,1,1,1,0,3,Weekly,2420.0,2493.0,No preference,3,3,0,0,1,0,0,1,0,No
129,Time-Poor Premium Professionals,Damac Hills,Western (Europe/NA/ANZ),25-34,"Single/couple, no children",Tenant,6.7,4,"50,000-79,999",1,0,0,1,0,0,Agency/company,3,0,1,1,1,1,1,0,0,0,8.4,0,1,1,0,0,0,0,0,0,4,Weekly,2948.0,4563.0,Bundled into HOA fees,4,5,1,0,1,0,0,1,0,Yes
130,Skeptical Traditionalists,Damac Hills,Other,55+,Couple with children,Owner,18.8,4,"Under 15,000",0,1,1,1,0,0,Individual freelancers,5,0,0,0,1,1,0,0,0,0,3.5,1,1,1,0,0,0,0,1,0,3,Weekly,1881.0,1144.0,Separate billing,4,1,0,0,0,0,0,0,0,No
131,Time-Poor Premium Professionals,Mudon,Southeast/East Asian,35-44,"Single/couple, no children",Owner,1.3,5,"80,000+",1,1,0,0,0,0,Agency/company,2,1,0,0,0,0,0,1,0,1,9.9,1,1,1,1,0,1,1,1,0,3,Weekly,7754.0,13332.0,Bundled into HOA fees,4,4,0,0,0,1,0,0,0,Yes
132,Tech-Savvy Young Adopters,Akoya Oxygen,Western (Europe/NA/ANZ),25-34,Shared housing/roommates,Tenant,5.2,2,"30,000-49,999",1,0,0,0,1,0,Individual freelancers,4,1,0,0,0,1,0,0,1,0,5.7,1,0,0,0,0,1,0,0,0,5,Weekly,754.0,506.0,Bundled into HOA fees,3,5,0,0,1,0,1,1,0,No
133,Skeptical Traditionalists,Jumeirah Islands,South Asian,45-54,"Single/couple, no children",Owner,4.7,3,"30,000-49,999",0,1,1,0,1,0,Agency/company,3,0,0,1,0,0,0,0,1,0,3.7,0,1,1,1,1,0,1,0,0,5,Weekly,2897.0,2418.0,Bundled into HOA fees,4,3,1,0,0,0,1,1,0,No
134,Cost-Conscious Family Households,Damac Hills,GCC national,45-54,Couple with children,Owner,9.1,5,"15,000-29,999",1,0,1,0,1,0,Informal/word-of-mouth,4,0,0,1,0,0,0,0,0,0,5.4,0,1,0,1,0,0,0,1,1,4,Biweekly,2501.0,2790.0,Bundled into HOA fees,4,3,1,0,0,0,0,0,0,Maybe
135,Skeptical Traditionalists,Arabian Ranches,GCC national,55+,Multigenerational household,Owner,10.7,4,"15,000-29,999",1,1,0,0,0,0,Individual freelancers,3,1,0,1,0,1,0,0,0,0,2.1,0,0,1,0,0,0,0,0,1,4,Weekly,1812.0,1365.0,Separate billing,5,1,1,0,0,0,0,1,1,No
136,Time-Poor Premium Professionals,Akoya Oxygen,Western (Europe/NA/ANZ),25-34,Shared housing/roommates,Owner,2.7,3,"30,000-49,999",1,1,0,0,1,0,Individual freelancers,3,1,1,0,1,1,1,0,0,0,9.2,1,1,1,0,0,0,0,0,1,4,Biweekly,2361.0,3020.0,Bundled into HOA fees,4,5,1,0,0,1,1,0,0,Yes
137,Tech-Savvy Young Adopters,The Meadows,Southeast/East Asian,Under 25,"Single/couple, no children",Tenant,3.0,3,"80,000+",1,0,0,0,1,0,Individual freelancers,2,1,0,0,0,0,0,0,1,0,6.2,1,1,0,1,1,0,0,0,0,3,Monthly,1526.0,1666.0,No preference,5,5,0,1,1,1,1,0,0,Maybe
138,Cost-Conscious Family Households,The Springs,Other,25-34,Couple with children,Tenant,2.7,4,"Under 15,000",1,1,0,1,0,0,DIY,4,0,1,1,0,0,0,0,0,0,8.4,1,1,0,0,0,0,0,1,0,3,Biweekly,881.0,783.0,Separate billing,3,4,0,0,1,0,0,0,0,Yes
139,Affluent Low-Engagement,Damac Hills,Other Arab,35-44,Couple with children,Tenant,,4,"50,000-79,999",1,1,1,1,1,0,Mix,3,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,3,Biweekly,9615.0,21970.0,Bundled into HOA fees,5,3,1,0,0,1,1,1,0,Maybe
140,Time-Poor Premium Professionals,Jumeirah Islands,South Asian,25-34,"Single/couple, no children",Owner,2.6,3,"50,000-79,999",1,1,1,0,1,0,Informal/word-of-mouth,1,0,1,0,1,1,1,0,0,0,10.0,1,0,0,1,1,0,1,0,1,3,Weekly,3171.0,3957.0,Bundled into HOA fees,4,5,0,0,0,1,1,0,0,Maybe
141,Cost-Conscious Family Households,Arabian Ranches,GCC national,35-44,Couple with children,Tenant,7.4,3,"15,000-29,999",0,0,0,0,0,1,DIY,3,0,0,1,0,0,0,0,0,0,4.5,0,0,0,0,1,0,0,0,0,4,Biweekly,1279.0,779.0,Bundled into HOA fees,5,4,1,0,1,1,0,1,0,Maybe
142,Cost-Conscious Family Households,Akoya Oxygen,GCC national,45-54,Couple with children,Tenant,6.1,2,,0,0,0,1,0,0,Individual freelancers,3,0,1,1,0,1,0,0,1,0,8.7,1,1,0,1,0,1,0,0,0,4,Flexible/on-demand,1015.0,444.0,Bundled into HOA fees,4,3,0,1,0,0,0,0,0,Yes
143,Tech-Savvy Young Adopters,Akoya Oxygen,African,45-54,Shared housing/roommates,Tenant,4.3,2,"30,000-49,999",0,0,0,1,0,0,Agency/company,2,1,0,0,0,1,0,1,0,0,6.9,1,1,0,1,0,1,1,0,0,3,Weekly,767.0,927.0,No preference,4,4,1,1,1,0,0,1,0,Yes
144,Skeptical Traditionalists,Jumeirah Park,South Asian,35-44,Multigenerational household,Owner,4.8,5,"50,000-79,999",1,1,0,0,1,0,Informal/word-of-mouth,4,0,0,1,0,0,0,0,0,0,2.2,0,1,0,0,1,0,0,0,0,4,Weekly,2984.0,3208.0,Separate billing,5,3,1,1,1,0,0,0,0,No
145,Cost-Conscious Family Households,The Meadows,Other Arab,45-54,Multigenerational household,Owner,5.1,3,"30,000-49,999",0,0,0,0,0,1,Individual freelancers,4,0,0,1,0,0,1,1,0,0,4.4,0,1,0,1,0,0,1,1,0,3,Weekly,1649.0,642.0,Bundled into HOA fees,5,2,0,0,0,0,0,1,0,Yes
146,Cost-Conscious Family Households,The Meadows,Other Arab,55+,Couple with children,Owner,9.9,3,"30,000-49,999",0,0,0,1,1,0,Informal/word-of-mouth,2,1,0,1,1,1,1,0,0,0,7.8,1,1,1,1,0,0,0,1,1,2,Weekly,1040.0,724.0,Separate billing,4,3,1,0,1,0,0,0,0,Maybe
147,Cost-Conscious Family Households,Jumeirah Park,GCC national,35-44,Couple with children,Owner,8.7,3,"30,000-49,999",1,0,1,1,1,0,Informal/word-of-mouth,5,1,0,0,1,0,0,0,0,0,3.6,0,0,1,1,0,1,0,0,1,5,Monthly,2073.0,1741.0,Bundled into HOA fees,4,2,0,0,1,1,1,1,0,Yes
148,Skeptical Traditionalists,Damac Hills,GCC national,35-44,Multigenerational household,Owner,13.3,3,"15,000-29,999",1,0,0,0,1,0,Mix,3,0,0,0,0,0,1,0,1,0,4.7,1,1,0,1,0,0,0,1,0,4,Monthly,3088.0,1999.0,Separate billing,5,2,0,0,0,0,0,0,1,Maybe
149,Cost-Conscious Family Households,Akoya Oxygen,Other,45-54,Couple with children,Tenant,2.3,4,"50,000-79,999",1,0,1,0,1,0,Agency/company,2,0,0,0,1,1,0,0,0,0,6.4,0,0,0,1,0,1,1,1,0,5,Weekly,2364.0,2484.0,No preference,4,5,0,0,0,0,0,0,0,Yes
150,Time-Poor Premium Professionals,Damac Hills,South Asian,Under 25,Couple with children,Owner,1.9,4,"30,000-49,999",1,1,0,0,0,0,Mix,2,0,0,0,0,0,0,0,0,0,6.1,0,0,0,1,0,0,0,1,1,4,Weekly,4390.0,5589.0,Separate billing,5,3,0,1,1,0,0,1,0,Yes
151,Tech-Savvy Young Adopters,Arabian Ranches,Southeast/East Asian,Under 25,Shared housing/roommates,Tenant,1.3,2,"Under 15,000",1,0,1,0,1,0,Agency/company,2,0,1,1,0,0,0,1,1,0,3.5,0,1,1,1,0,0,1,0,0,2,Biweekly,89.0,20.0,Bundled into HOA fees,5,4,0,0,0,0,0,0,0,Maybe
152,Tech-Savvy Young Adopters,The Meadows,Western (Europe/NA/ANZ),25-34,"Single/couple, no children",Tenant,2.0,2,"15,000-29,999",1,0,0,0,1,0,Individual freelancers,3,1,0,0,0,0,0,0,0,0,2.1,1,1,1,0,1,1,1,0,0,4,Weekly,589.0,1456.0,Bundled into HOA fees,4,4,0,0,0,0,0,0,0,Maybe
153,Time-Poor Premium Professionals,Damac Hills,GCC national,25-34,Multigenerational household,Owner,4.2,4,"80,000+",1,0,0,0,0,0,Agency/company,4,1,1,0,1,1,1,0,1,0,8.4,1,0,1,0,0,1,1,1,0,3,Weekly,5080.0,6339.0,Separate billing,5,4,1,0,1,0,0,1,1,Yes
154,Skeptical Traditionalists,Akoya Oxygen,South Asian,55+,"Single/couple, no children",Tenant,9.8,3,,0,1,0,1,1,0,Individual freelancers,4,1,0,1,0,0,0,1,0,0,3.1,1,1,0,0,0,0,0,0,0,5,Biweekly,3136.0,3925.0,Separate billing,5,3,0,0,0,0,0,0,0,No
155,Time-Poor Premium Professionals,The Springs,Other Arab,25-34,Multigenerational household,Owner,24.0,2,"30,000-49,999",1,1,1,1,0,0,Agency/company,2,1,0,1,0,1,1,0,0,0,10.2,1,1,1,0,0,0,0,0,1,5,Weekly,1767.0,2298.0,Bundled into HOA fees,5,5,0,1,0,1,0,1,0,No
